형태소,품사,분류,카운트
"
",Foreign,2019-07-26,1
"
",Foreign,2019-08-07,1
"
",Foreign,2019-08-25,1
!,Punctuation,2019-07-25,2
!,Punctuation,2019-09-23,1
"""",Punctuation,2019-07-23,29
"""",Punctuation,2019-07-24,47
"""",Punctuation,2019-07-25,5
"""",Punctuation,2019-07-26,2
"""",Punctuation,2019-07-27,6
"""",Punctuation,2019-07-29,2
"""",Punctuation,2019-08-03,2
"""",Punctuation,2019-08-17,2
"""",Punctuation,2019-08-19,2
"""",Punctuation,2019-08-23,1
"""",Punctuation,2019-08-30,5
"""",Punctuation,2019-08-31,4
"""",Punctuation,2019-09-01,9
"""",Punctuation,2019-09-06,12
"""",Punctuation,2019-09-07,2
"""",Punctuation,2019-09-30,1
"""('",Punctuation,2019-09-01,1
"""..",Punctuation,2019-07-24,1
"""…",Punctuation,2019-07-23,3
"""…",Punctuation,2019-07-24,2
"""…",Punctuation,2019-07-25,1
"""…",Punctuation,2019-07-26,2
"""…",Punctuation,2019-07-27,1
"""…'",Punctuation,2019-07-23,1
#6살,Hashtag,2019-07-23,1
#국내,Hashtag,2019-07-23,1
#월수익,Hashtag,2019-07-23,1
',Punctuation,2019-07-23,109
',Punctuation,2019-07-24,77
',Punctuation,2019-07-25,4
',Punctuation,2019-07-26,11
',Punctuation,2019-07-27,5
',Punctuation,2019-07-28,2
',Punctuation,2019-07-30,7
',Punctuation,2019-08-02,1
',Punctuation,2019-08-03,1
',Punctuation,2019-08-05,1
',Punctuation,2019-08-07,2
',Punctuation,2019-08-19,1
',Punctuation,2019-08-21,2
',Punctuation,2019-08-23,1
',Punctuation,2019-08-28,1
',Punctuation,2019-08-30,2
',Punctuation,2019-08-31,5
',Punctuation,2019-09-01,4
',Punctuation,2019-09-02,4
',Punctuation,2019-09-06,8
',Punctuation,2019-09-07,2
',Punctuation,2019-09-30,5
'),Punctuation,2019-09-01,1
"',",Punctuation,2019-07-23,6
"',",Punctuation,2019-07-24,6
'..,Punctuation,2019-07-24,1
'...,Punctuation,2019-07-26,1
'...,Punctuation,2019-09-05,1
'…,Punctuation,2019-07-23,4
'…,Punctuation,2019-08-28,1
"'…""",Punctuation,2019-07-23,1
"'…""",Punctuation,2019-07-27,1
'…',Punctuation,2019-07-24,1
(,Punctuation,2019-07-23,1
(,Punctuation,2019-09-02,1
),Punctuation,2019-07-23,1
),Punctuation,2019-09-02,1
+,Punctuation,2019-07-23,4
+,Punctuation,2019-07-24,2
",",Punctuation,2019-07-23,73
",",Punctuation,2019-07-24,75
",",Punctuation,2019-07-25,6
",",Punctuation,2019-07-26,5
",",Punctuation,2019-07-27,2
",",Punctuation,2019-07-29,1
",",Punctuation,2019-08-03,1
",",Punctuation,2019-08-09,1
",",Punctuation,2019-08-11,1
",",Punctuation,2019-08-17,1
",",Punctuation,2019-08-18,1
",",Punctuation,2019-08-21,1
",",Punctuation,2019-08-23,1
",",Punctuation,2019-08-30,4
",",Punctuation,2019-08-31,5
",",Punctuation,2019-09-01,8
",",Punctuation,2019-09-03,1
",",Punctuation,2019-09-05,1
",",Punctuation,2019-09-06,5
",",Punctuation,2019-09-07,1
",",Punctuation,2019-09-11,1
",",Punctuation,2019-09-30,1
-,Punctuation,2019-08-09,1
-,Punctuation,2019-08-31,1
..,Punctuation,2019-07-23,2
..,Punctuation,2019-07-24,3
..,Punctuation,2019-07-25,1
..,Punctuation,2019-08-17,1
..,Punctuation,2019-09-01,3
..,Punctuation,2019-09-06,1
...,Punctuation,2019-07-23,10
...,Punctuation,2019-07-24,14
...,Punctuation,2019-07-25,2
...,Punctuation,2019-07-26,1
...,Punctuation,2019-07-27,1
...,Punctuation,2019-08-03,1
...,Punctuation,2019-08-30,1
...,Punctuation,2019-09-02,1
"...""",Punctuation,2019-07-23,1
...',Punctuation,2019-07-24,1
..?,Punctuation,2019-08-30,1
1,Number,2019-07-23,8
1,Number,2019-07-24,6
1,Number,2019-07-25,1
1%,Number,2019-07-23,2
100억,Number,2019-07-23,1
100억,Number,2019-08-07,1
100억,Number,2019-08-09,1
100억,Number,2019-09-01,1
100억원,Number,2019-07-24,1
150만원,Number,2019-08-07,1
1750만,Number,2019-07-23,1
17억,Number,2019-07-23,2
188억원,Number,2019-08-28,1
1등,Number,2019-08-31,1
1억,Number,2019-07-23,1
1억,Number,2019-07-24,2
1억,Number,2019-07-27,1
1억,Number,2019-08-28,1
1일,Number,2019-08-25,1
2,Number,2019-08-14,1
2,Number,2019-08-23,1
2,Number,2019-09-30,1
2000만,Number,2019-07-23,2
2000만원,Number,2019-07-23,1
2000억원,Number,2019-09-05,1
2019년,Number,2019-09-01,1
20억,Number,2019-09-06,1
2100만원,Number,2019-07-24,1
22억,Number,2019-07-25,1
23일,Number,2019-07-26,1
23일,Number,2019-07-27,1
2억,Number,2019-07-23,1
2천만원,Number,2019-07-23,1
3,Number,2019-07-26,1
3,Number,2019-08-19,1
3,Number,2019-09-01,1
"3,100만",Number,2019-08-21,1
3.3억,Number,2019-07-24,3
3.4억,Number,2019-07-24,1
30,Number,2019-07-24,1
300,Number,2019-07-24,1
300억원,Number,2019-09-01,1
30억,Number,2019-07-25,1
30억,Number,2019-07-26,1
30억,Number,2019-08-09,1
30억,Number,2019-08-19,1
30억,Number,2019-08-23,1
30억,Number,2019-09-01,1
3111만,Number,2019-07-23,2
33억,Number,2019-07-23,2
33억원,Number,2019-07-23,1
35억,Number,2019-07-23,1
35억,Number,2019-09-01,1
35억원,Number,2019-07-23,1
36억,Number,2019-07-23,6
36억,Number,2019-07-24,3
37억,Number,2019-07-23,7
37억,Number,2019-07-24,3
37억,Number,2019-08-30,3
